The Sun	thesun.co.uk
The Times	thetimes.co.uk
The Australian	theaustralian.com.au
News.com.au	news.com.au
The Daily Telegraph	dailytelegraph.com.au
Herald Sun	heraldsun.com.au
The Courier-Mail	couriermail.com.au
The Advertiser	adelaidenow.com.au
The Mercury	themercury.com.au
Northern Territory News	ntnews.com.au
North Shore Times	northshoretimes.com.au
Quest Community Newspapers	questnews.com.au
Geelong Advertiser	geelongadvertiser.com.au
Gold Coast Bulletin	goldcoast.com.au
The Cairns Post	cairnspost.com.au
Townsville Bulletin	townsvillebulletin.com.au
Papua New Guinea Post-Courier	postcourier.com.pg
New York Post	nypost.com
Dow Jones & Company	dowjones.com
The Wall Street Journal	wsj.com
Barron's	barrons.com
MarketWatch	marketwatch.com
Financial News	fnlondon.com
Talksport	talksport.com